2026-02-26 18:28:22 | INFO     | forex_scraper.scrape | [USDJPY] Priming cookies via main page...
2026-02-26 18:28:23 | INFO     | forex_scraper.scrape | [USDJPY] Cookies primed. Waiting 3.7s...
2026-02-26 18:28:27 | INFO     | forex_scraper.scrape | [USDJPY] Calling historical API...
2026-02-26 18:28:29 | INFO     | forex_scraper.scrape | [USDJPY] Status: 200
2026-02-26 18:28:29 | INFO     | forex_scraper.scrape | [USDJPY] Parsed 1606 records
2026-02-26 18:28:29 | INFO     | currency_scrape.service | Waiting 5.6s before next pair...
2026-02-26 18:28:35 | INFO     | forex_scraper.scrape | [GBPINR] Priming cookies via main page...
2026-02-26 18:28:36 | INFO     | forex_scraper.scrape | [GBPINR] Cookies primed. Waiting 2.4s...
2026-02-26 18:28:39 | INFO     | forex_scraper.scrape | [GBPINR] Calling historical API...
2026-02-26 18:28:42 | INFO     | forex_scraper.scrape | [GBPINR] Status: 200
2026-02-26 18:28:42 | INFO     | forex_scraper.scrape | [GBPINR] Parsed 1606 records
2026-02-26 18:28:42 | INFO     | currency_scrape.service | Waiting 7.3s before next pair...
2026-02-26 18:28:50 | INFO     | forex_scraper.scrape | [GBPUSD] Priming cookies via main page...
2026-02-26 18:28:51 | INFO     | forex_scraper.scrape | [GBPUSD] Cookies primed. Waiting 2.0s...
2026-02-26 18:28:53 | INFO     | forex_scraper.scrape | [GBPUSD] Calling historical API...
2026-02-26 18:28:55 | INFO     | forex_scraper.scrape | [GBPUSD] Status: 200
2026-02-26 18:28:55 | INFO     | forex_scraper.scrape | [GBPUSD] Parsed 1606 records
2026-02-26 18:28:55 | INFO     | currency_scrape.service | Waiting 4.1s before next pair...
2026-02-26 18:28:59 | INFO     | forex_scraper.scrape | [JPYINR] Priming cookies via main page...
2026-02-26 18:29:00 | INFO     | forex_scraper.scrape | [JPYINR] Cookies primed. Waiting 3.4s...
2026-02-26 18:29:04 | INFO     | forex_scraper.scrape | [JPYINR] Calling historical API...
2026-02-26 18:29:06 | INFO     | forex_scraper.scrape | [JPYINR] Status: 200
2026-02-26 18:29:06 | INFO     | forex_scraper.scrape | [JPYINR] Parsed 1606 records
2026-02-26 18:29:06 | INFO     | currency_scrape.service | Data saved to forex_data_20260226_182906.json
2026-02-26 18:29:06 | INFO     | currency_scrape.service | Scrape complete | 6/7 pairs | 9636 records | 64.29s
2026-02-26 18:32:43 | INFO     | forex_scraper.main | Forex Scraper Microservice shutting down...
2026-02-26 18:32:44 | INFO     | forex_scraper.main | ==================================================
2026-02-26 18:32:44 | INFO     | forex_scraper.main | Forex Scraper Microservice starting...
2026-02-26 18:32:44 | INFO     | forex_scraper.main | Startup complete. Server ready.
2026-02-26 18:32:44 | INFO     | forex_scraper.main | ==================================================
2026-02-26 18:33:41 | INFO     | forex_scraper.scrape | [USDINR] Priming cookies via main page...
